Subj,Crse,# Sec,Mode,Cred,Title,XList,Rest,Preq,Coreq,Instructor,Enroll Estimate,"Multi Campus",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BDSI,8000,1,TR,1,Biomedical Data Science and Informatics Seminar,,R,,,Aaron Masino (P),10,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BDSI,8020,1,TR,3,Biomedical Data Standards and Terminologies,,R,P,,Aaron Masino (P),10,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BDSI,8120,1,SYNCH,3,Clinical and Translational Informatics,,R,,,Aaron Masino (P),10,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPSC,1010,2,TR,4,cs 1,,,P,,C. Kittelstad (P),110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPSC,1020,2,TR,4,cs 2,,,P,,Dan Wooster (P),140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPSC,1050,1,TR,4,intro python,,,P,,Adkins-Daniel (P),50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPSC,1070,1,TR,4,prog meth,,,P,,Christopher M Plaue (P),60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPSC,1070,1,TR,4,prog meth,,,P,,Singh Dhillon (P),60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPSC,2070,4,HY,3,discr struct,,,P,,N. Widman (P),160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPSC,2120,2,TR,4,Algorithms and Data Structures,,,P,,N. Widman (P),80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPSC,2120,2,TR,4,Algorithms and Data Structures,,,P,,Ran Xu (P),120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPSC,2121,6,TR,0,Algorithms and Data Structures Laboratory,,,,,Ran Xu (P),200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPSC,2150,3,TR,3,Software Development Foundations,,,P,,Matthew Joseph Re (P),170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPSC,2200,1,TR,3,Problem Solving with Office Applications,,,,,C. Kittelstad (P),75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPSC,2201,2,TR,0,Problem Solving with Office Applications Laboratory,,,,,C. Kittelstad (P),75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPSC,2310,2,TR,4,Introduction to Computer Organization,,,P,,Yvon H. Feaster (P),130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPSC,2311,5,TR,0,Introduction to Computer Organization Laboratory,,,,,Yvon H. Feaster (P),130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPSC,2920,1,TR,3,"Computing, Ethics and Global Society",,,P,,Mitch Shue (P),100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
