Subj,Crse,Abbrev
BDSI,8000,Biomedical Data Science and Informatics Seminar
BDSI,8020,Biomedical Data Standards and Terminologies
BDSI,8120,1,SYNCH,3,Clinical and Translational Informatics
CPSC,1010,Computer Science I
CPSC,1011,Computer Science I Laboratory
CPSC,1020,Computer Science II
CPSC,1021,Computer Science II Laboratory
CPSC,1050,intro prog python
CPSC,1051,intro prog python lab 
CPSC,1070,prog method
CPSC,1071,prog method lab
CPSC,2070,discrete structures
CPSC,2120,algo & data struct
CPSC,2121,algo & data struct lab
CPSC,2150,sw dev foundations 
CPSC,2200,probsolv office apps
CPSC,2201,probsolv office apps lab
CPSC,2310,computer org
CPSC,2311,computer org lab
CPSC,2920,comp ethics global society 
CPSC,2921,comp ethics recitation
CPSC,3120,intro algorithms
CPSC,3220,intro OS
CPSC,3300,comp sys org
CPSC,3520,prog sys
CPSC,3600,networks & net prog
CPSC,3710,Systems Analysis
CPSC,3720,Introduction to Software Engineering
CPSC,3720,Introduction to Software Engineering
CPSC,3750,Web Application Development
CPSC,4+6070,Applied Computer Vision,K1
CPSC,4+6110,Virtual Reality Systems,K2
CPSC,4+6140,Human and Computer Interaction,K3
CPSC,4+6140,Human and Computer Interaction,K4
CPSC,4+6170,3D Game Programming: Algorithms and Techniques,K5
CPSC,4+6180,Usable Privacy and Security,K6
CPSC,4+6190,Physical Modeling and Animation,K7
CPSC,4+6200,Computer Security Principles,K8
CPSC,4+6240,System Administration and Security,K9
CPSC,4+6300,Applied Data Science,K10
CPSC,6300,1,CRSRA,3,Applied Data Science,K11
CPSC,4+6420,Artificial Intelligence,K13
CPSC,4+6430,Machine Learning: Implementation and Evaluation,K14
CPSC,4+6440,Cloud Computing Architecture,K15
CPSC,4+6440,Cloud Computing Architecture,K16
CPSC,6620,1,CRSRA,3,Database Management Systems,K18
CPSC,4+6620,Database Management Systems,K18
CPSC,4+6620,Database Management Systems,K18
CPSC,4+6720,Software Development Methodology,K19
CPSC,4+6780,General Purpose Computation on Graphical Processing Units,K19
CPSC,x820,embedded sys
CPSC,x820,crypto
CPSC,4910,sc practicum
CPSC,4911,sc practicum lab
CPSC,7030,mscs ready 3
CPSC,8030,sci viz 
CPSC,8120,mscs ready 4
CPSC,8190,Physically Based Visual Effects
CPSC,8230,quant comp
CPSC,8400,algo dsn anl
CPSC,8470,info retr
CPSC,8570,Security in Advanced Networking Technologies
CPSC,8650,data mining
CPSC,8740,AI sw eng
CPSC,8810,graph ML
CPSC,8810,cybersec side
CPSC,8810,gaze xr
CPSC,8810,hpc power
CPSC,8810,cphoto learn 
HCC,6400,measur eval
HCC,6510,inclus acces
HCC,x520,tang embed
HCC,6600,hum-ctr ai
HCC,8500,team tech
DPA,3070,studio methods
DPA,3071,studio methods lab
DPA,x010,tech production 2
DPA,x030,Visual Foundations of Digital Production II,K24,R,P
DPA,x820,advan rigging
DPA,x820,visual fx anim
DPA,6830,storyboarding
DPA,8080,Artistic Character Animation
DPA,8090,Rendering and Shading
DPA,8150,Special Effects Compositing
DPA,8600,1,TR,1 to 6,Digital Production Studio
